east   north   elevation  region  ca020   mg020   ctc020  ca2040  mg2040  ctc2040
5710    4829       6.1       3      52      18     106      40      16    86.3   
5727    4875      6.05       3      57      20   131.1      49      21   123.1   
5745    4922       6.3       3      72      22   114.6      63      22   101.7   
5764    4969       6.6       3      74      11   114.4      74      12    95.6   
5781    5015       6.6       3      68      34   124.4      44      36   106.3   
5799    5062      5.75       3      45      27   132.9      27      22   105.3   
5817    5109      5.35       3      47      27   128.6      35      25   110.6   
5837    5161       5.1       3      49      30   121.6      35      25    98.5   
5873    5254         5       2      38      25   121.8      29      28     102   
5907    5347       5.2       2      53      26   114.1      23      18    82.7   
5925    5394      5.05       2      60      35     130      59      34   127.7   
5943    5441      4.65       2      47      26    76.4      22      30    73.1   
5961    5487       4.4       2      34      34    87.2      32      28    78.8   
5681    4891       6.1       3      56      22   119.2      41      22   108.8   
5698    4937       6.2       3      66      21   123.9      62      21   121.8   
5734    5031      5.65       3      53      30   131.2      53      38   130.4   
5751    5078      5.55       3      43      24   129.1      48      28   126.5   
5769    5125       5.3       3      42      21   129.8      31      23   114.7   
5790    5178         5       3      49      26   128.5      38      24   120.2   
5808    5225       5.1       2      45      30   134.8      43      30   131.5   
5825    5271       4.9       2      53      36   142.5      63      36   139.5   
5843    5319       5.2       2      38      24   120.5      37      23   114.2   
5864    5371       5.1       2      47      27   119.9      41      27   120.6   
5881    5419       4.9       2      35      26   116.8      31      21   108.6   
5899    5464       4.5       2      60      30   115.3      64      32   121.9   
5918    5511       4.1       2      45      20   102.1      38      29   110.1   
5634    4908      6.35       3      60      24   136.9      59      24   129.1   
5653    4954      6.45       3      61      20    84.1      79      18     100   
5670    5001       6.2       3      58      34   146.4      43      35   144.8   
5688    5049      5.75       3      44      22   152.9      38      21   156.1   
5705    5095       5.5       3      50      25   138.2      47      24   126.6   
5723    5142       5.2       3      47      23   129.4      45      23   125.5   
5744    5196       5.2       3      49      32     128      37      27   124.5   
5761    5242      5.35       2      46      30   134.3      27      27     125   
5797    5336      5.35       2      43      25     122      32      28   120.4   
5818    5390       5.2       2      56      35   121.6      33      23    88.6   
5836    5436       4.9       2      43      33   109.3      56      28   110.3   
5871    5529         4       2      50      25   105.7      30      26   116.3   
5606    4972       6.2       3      61      30   142.5      58      31   140.4   
5623    5019      5.75       3      57      29   160.6      51      23   158.1   
5641    5066      5.55       3      57      24     181      54      25   173.8   
5659    5112       5.4       3      42      21   173.2      26      19   123.2   
