"cX","cY","data"
203.864391,217.056541,184
207.622391,213.744541,121
193.417391,213.669541,138
216.620391,210.473541,126
191.942391,208.104541,156
212.156391,207.103541,100
203.923391,207.049541,120
230.892391,205.043541,131
192.704391,204.771541,124
238.392391,204.014541,142
233.162391,202.844541,136
223.424391,202.747541,139
203.199391,202.598541,113
235.446391,199.533541,118
251.950391,198.628541,127
224.215391,198.306541,131
195.728391,198.112541,153
253.465391,197.537541,115
215.978391,197.124541,107
209.229391,197.075541,96
236.246391,195.094541,109
131.986391,194.843541,152
127.477391,193.762541,107
143.232391,193.669541,213
145.482391,193.659541,238
188.996391,193.639541,124
240.774391,192.922541,140
223.516391,192.740541,123
124.468391,192.673541,108
175.493391,192.499541,225
254.295391,191.989541,109
246.791391,191.886541,90
230.281391,191.693541,129
125.952391,190.437541,123
136.461391,190.368541,161
234.808391,189.517541,109
127.445391,189.314541,133
128.946391,189.303541,148
130.448391,189.293541,152
238.575391,188.448541,142
140.953391,188.120541,260
197.274391,188.112541,144
158.974391,186.947541,324
264.891391,186.590541,144
124.416391,186.001541,136
128.923391,185.968541,142
143.196391,185.885541,315
143.947391,185.882541,338
250.635391,185.265541,68
241.619391,185.149541,128
231.101391,185.030541,126
225.841391,184.978541,131
136.429391,184.808541,253
183.014391,184.727541,183
225.852391,183.866541,141
215.331391,183.775541,104
131.913391,183.724541,151
197.295391,183.664541,133
192.035391,183.642541,147
155.962391,183.617541,330
167.986391,183.601541,266
230.372391,182.798541,134
127.396391,182.643541,151
141.678391,182.557541,325
180.764391,182.499541,212
170.241391,182.489541,286
126.636391,181.536541,102
144.679391,181.431541,331
186.780391,181.401541,132
273.251391,181.170541,303
277.030391,180.125541,249
268.759391,179.980541,116
263.495391,179.895541,125
85.258391,179.762541,135
105.562391,179.505541,196
127.372391,179.307541,153
210.101391,179.289541,94
199.572391,179.227541,143
148.430391,179.192541,380
152.191391,179.180541,335
139.399391,178.120541,289
196.569391,178.101541,146
149.931391,178.075541,350
271.805391,177.808541,149
77.703391,177.651541,105
247.733391,177.441541,61
155.193391,176.947541,367
235.708391,176.183541,130
140.893391,175.889541,325
188.301391,175.846541,164
281.626391,175.762541,156
267.329391,175.509541,140
229.700391,175.008541,89
134.113391,174.814541,320
262.078391,174.312541,111
254.551391,174.199541,126
98.727391,174.024541,230
138.623391,173.677541,386
143.893391,173.651541,356
163.466391,173.597541,254
273.388391,173.387541,392
259.084391,173.154541,119
136.359391,172.577541,400
200.359391,172.560541,75
247.806391,171.882541,63
228.981391,171.664541,118
223.709391,171.614541,119
215.426391,171.544541,115
243.302391,170.713541,60
108.478391,170.578541,176
192.085391,170.299541,163
256.875391,169.785541,137
209.416391,169.277541,106
140.106391,169.221541,334
149.900391,169.179541,301
120.510391,168.241541,267
194.354391,168.084541,124
263.690391,167.665541,185
171.749391,166.922541,216
246.373391,166.303541,95
134.059391,165.919541,310
254.679391,165.305541,72
218.493391,164.897541,58
201.907391,164.784541,77
151.393391,164.727541,322
166.472391,164.699541,226
267.513391,164.390541,231
224.535391,163.837541,88
126.505391,163.746541,304
257.728391,163.125541,118
223.036391,162.712541,120
198.148391,162.541541,120
189.851391,162.507541,127
228.327391,161.649541,65
215.503391,161.537541,66
94.793391,160.728541,209
241.918391,160.687541,152
236.637391,160.625541,91
108.373391,160.571541,208
122.708391,160.439541,258
201.931391,160.336541,124
182.314391,160.263541,178
81.196391,159.804541,266
141.565391,159.206541,327
174.769391,159.140541,165
258.549391,158.689541,116
255.530391,158.644541,178
120.426391,158.234541,288
124.191391,157.091541,306
214.783391,157.084541,45
196.664391,156.974541,73
269.907391,156.645541,311
220.076391,156.014541,48
145.324391,155.854541,311
208.758391,154.817541,67
201.206391,154.773541,86
171.752391,153.578541,212
257.877391,153.118541,140
134.733391,152.571541,350
269.982391,152.198541,205
251.849391,151.920541,184
229.937391,151.657541,86
222.381391,151.586541,54
158.907391,151.365541,196
87.108391,150.822541,194
199.718391,150.317541,85
196.695391,150.303541,63
191.404391,150.281541,60
234.495391,149.481541,117
225.424391,149.389541,64
81.029391,148.686541,251
216.362391,148.200541,58
142.267391,148.083541,322
97.634391,146.236541,180
225.455391,146.054541,82
117.298391,146.029541,349
201.253391,145.877541,137
171.755391,145.795541,115
86.274391,145.273541,96
239.838391,145.094541,184
101.402391,145.079541,256
214.119391,144.847541,65
127.878391,144.832541,328
209.580391,144.815541,94
270.114391,144.415541,235
244.391391,144.037541,115
216.397391,143.752541,91
145.273391,143.622541,400
226.243391,142.725541,103
198.243391,142.526541,93
219.442391,141.553541,72
66.530391,141.136541,281
211.889391,139.271541,113
205.074391,139.227541,86
146.012391,139.172541,327
190.687391,139.159541,70
59.676391,139.035541,228
127.831391,138.161541,375
136.919391,138.103541,445
62.685391,137.868541,260
80.105391,137.579541,119
151.305391,136.929541,314
266.457391,136.570541,282
238.428391,136.181541,145
142.210391,135.852541,378
146.756391,135.833541,426
102.802391,135.055541,300
233.137391,135.011541,155
216.467391,134.857541,91
157.360391,134.689541,225
180.094391,134.684541,87
73.234391,134.350541,290
271.059391,133.310541,200
149.017391,132.488541,365
60.310391,132.350541,296
107.313391,131.669541,398
217.251391,131.527541,140
205.878391,131.447541,86
145.222391,131.391541,412
152.804391,131.364541,239
77.729391,130.942541,223
186.168391,130.249541,59
174.793391,130.229541,142
