dataset,method,rank,iteration,lambda,RMSE
books,align,10,0,10,1.52067410172242
books,alignf,10,0,10,1.5095653902594
books,alignfc,10,0,1,1.49854135499744
books,uniform,10,0,100,1.56790021241444
books,align,20,0,10,1.51109393288941
books,alignf,20,0,10,1.47579824902453
books,alignfc,20,0,1,1.47009408347685
books,uniform,20,0,1000,1.57030471806446
books,align,40,0,1,1.46846378880096
books,alignf,40,0,10,1.43537660545015
books,alignfc,40,0,1,1.42180546916595
books,uniform,40,0,100,1.54238855723421
books,align,80,0,0.1,1.41053959222127
books,alignf,80,0,10,1.41446109809702
books,alignfc,80,0,1,1.39874085509783
books,uniform,80,0,100,1.5062288124166
books,align,160,0,0.1,1.3877524029174
books,alignf,160,0,10,1.39646186598002
books,alignfc,160,0,1,1.38280174954116
books,uniform,160,0,100,1.46270032201451
books,align,320,0,0.1,1.38291403669043
books,alignf,320,0,10,1.38625384178908
books,alignfc,320,0,1,1.38280081658639
books,uniform,320,0,100,1.41621728328728
books,align,10,1,0.1,1.53266625975559
books,alignf,10,1,1,1.47593943641363
books,alignfc,10,1,1,1.48056814127506
books,uniform,10,1,100,1.56752777689945
books,align,20,1,1,1.51327677560376
books,alignf,20,1,1,1.45905350835751
books,alignfc,20,1,1,1.45349875093004
books,uniform,20,1,1000,1.56964537444692
books,align,40,1,1,1.47485412219974
books,alignf,40,1,10,1.44359907029771
books,alignfc,40,1,1,1.42838527950762
books,uniform,40,1,100,1.53993545025395
books,align,80,1,0.1,1.40698411316478
books,alignf,80,1,10,1.41876863396938
books,alignfc,80,1,1,1.40398759294807
books,uniform,80,1,100,1.49726727507846
books,align,160,1,0.1,1.39292186122061
books,alignf,160,1,10,1.40453910034418
books,alignfc,160,1,1,1.38349809857897
books,uniform,160,1,100,1.44933856898919
books,align,320,1,0.1,1.3923526655053
books,alignf,320,1,10,1.38680122312946
books,alignfc,320,1,1,1.38349786787226
books,uniform,320,1,100,1.42987718576803
books,align,10,2,1,1.50991606012427
books,alignf,10,2,1,1.51179789367765
books,alignfc,10,2,1,1.51213161427178
books,uniform,10,2,100,1.56716386223456
books,align,20,2,0.001,1.4921854501587
books,alignf,20,2,10,1.46778657152593
books,alignfc,20,2,1,1.45858301235061
books,uniform,20,2,1000,1.57006532712045
books,align,40,2,0.1,1.4668220483506
books,alignf,40,2,10,1.44142519775041
books,alignfc,40,2,1,1.41802273714393
books,uniform,40,2,100,1.54209894224452
books,align,80,2,0.1,1.42299057245337
