dataset,method,rank,iteration,lambda,RMSE
dvd,align,10,0,100,1.55006554994723
dvd,alignf,10,0,10,1.49442720843635
dvd,alignfc,10,0,1,1.49311808370049
dvd,uniform,10,0,10,1.57938560494612
dvd,align,20,0,0.001,1.48823357950088
dvd,alignf,20,0,1,1.46024501656164
dvd,alignfc,20,0,1,1.45293904234982
dvd,uniform,20,0,100,1.58037275814021
dvd,align,40,0,0.001,1.45860561275355
dvd,alignf,40,0,1,1.40952127827208
dvd,alignfc,40,0,1,1.4018499009224
dvd,uniform,40,0,100,1.55664734947477
dvd,align,80,0,0.001,1.41268882616863
dvd,alignf,80,0,1,1.39667736366783
dvd,alignfc,80,0,1,1.37952597397773
dvd,uniform,80,0,10,1.57776772769472
dvd,align,160,0,0.1,1.40603387690747
dvd,alignf,160,0,1,1.38633163020352
dvd,alignfc,160,0,0.1,1.38755714255049
dvd,uniform,160,0,100,1.50838583256727
dvd,align,320,0,0.1,1.40550384092426
dvd,alignf,320,0,1,1.38104082785672
dvd,alignfc,320,0,0.1,1.38761529511398
dvd,uniform,320,0,100,1.45396691524061
dvd,align,10,1,10,1.53029940423444
dvd,alignf,10,1,1,1.48082657974764
dvd,alignfc,10,1,1,1.47002383190998
dvd,uniform,10,1,1000,1.58473628206798
dvd,align,20,1,1,1.49702669774416
dvd,alignf,20,1,1,1.44914259025374
dvd,alignfc,20,1,0.1,1.45191111546841
dvd,uniform,20,1,1000,1.58426772784722
dvd,align,40,1,0.1,1.45832217789962
dvd,alignf,40,1,1,1.41051525846789
dvd,alignfc,40,1,1,1.39967145855273
dvd,uniform,40,1,100,1.55745707556684
dvd,align,80,1,0.001,1.44036393190489
dvd,alignf,80,1,1,1.38800716250386
dvd,alignfc,80,1,0.1,1.38611327721329
dvd,uniform,80,1,100,1.54100068318069
dvd,align,160,1,0.01,1.43265894824563
dvd,alignf,160,1,1,1.37016104506005
dvd,alignfc,160,1,0.1,1.37297856908174
dvd,uniform,160,1,100,1.51415042855766
dvd,align,320,1,0.1,1.41434145783573
dvd,alignf,320,1,1,1.36319675142436
dvd,alignfc,320,1,0.1,1.37297029104263
dvd,uniform,320,1,100,1.4522479565966
dvd,align,10,2,1,1.53471215855728
dvd,alignf,10,2,10,1.4850561825027
dvd,alignfc,10,2,1,1.4657621745315
dvd,uniform,10,2,100,1.58152754604017
dvd,align,20,2,1,1.48682598813741
dvd,alignf,20,2,1,1.45538850075858
dvd,alignfc,20,2,1,1.44325287634497
dvd,uniform,20,2,100,1.579751182532
dvd,align,40,2,0.1,1.49000669428313
dvd,alignf,40,2,10,1.40747336186837
dvd,alignfc,40,2,1,1.39839725865555
dvd,uniform,40,2,100,1.55347188262561
dvd,align,80,2,0.1,1.43744532436518
dvd,alignf,80,2,10,1.38966672512249
dvd,alignfc,80,2,1,1.37566493691742
dvd,uniform,80,2,100,1.54132181777203
dvd,align,160,2,0.1,1.41726744757249
dvd,alignf,160,2,10,1.37934992811837
dvd,alignfc,160,2,1,1.36948798078352
dvd,uniform,160,2,100,1.50480145839498
dvd,align,320,2,0.1,1.41267734974803
dvd,alignf,320,2,10,1.3720802305004
dvd,alignfc,320,2,1,1.36948808616456
dvd,uniform,320,2,100,1.44930613950996
dvd,align,10,3,10,1.50480180948394
dvd,alignf,10,3,10,1.48948120294334
dvd,alignfc,10,3,1,1.48125109733753
dvd,uniform,10,3,100,1.58057317978388
dvd,align,20,3,10,1.49099830967469
dvd,alignf,20,3,10,1.45100051242632
dvd,alignfc,20,3,1,1.42718521840508
dvd,uniform,20,3,100,1.58098870389276
dvd,align,40,3,0.001,1.48484900308504
dvd,alignf,40,3,1,1.39790024123387
dvd,alignfc,40,3,0.1,1.40031369029064
dvd,uniform,40,3,10,1.56901946268098
dvd,align,80,3,0.01,1.4235985418235
dvd,alignf,80,3,1,1.38228892969667
dvd,alignfc,80,3,1,1.37002782351577
dvd,uniform,80,3,100,1.54522581621504
dvd,align,160,3,0.1,1.41414478479731
dvd,alignf,160,3,1,1.36801345990088
dvd,alignfc,160,3,1,1.36493091966569
dvd,uniform,160,3,100,1.51241409094091
dvd,align,320,3,0.1,1.41620277621262
dvd,alignf,320,3,10,1.36990842738984
dvd,alignfc,320,3,1,1.36493095933668
dvd,uniform,320,3,100,1.4628971656341
dvd,align,10,4,1,1.54343706339209
dvd,alignf,10,4,0.001,1.48467777791117
dvd,alignfc,10,4,0.001,1.47168754952844
dvd,uniform,10,4,0.001,1.58161795997371
dvd,align,20,4,1,1.47953551308284
dvd,alignf,20,4,0.001,1.4599155311372
dvd,alignfc,20,4,0.001,1.44525210345326
dvd,uniform,20,4,10,1.58758556472915
dvd,align,40,4,0.001,1.48355381241409
dvd,alignf,40,4,1,1.42295141502128
dvd,alignfc,40,4,0.1,1.40607257990504
dvd,uniform,40,4,10,1.56662639774737
dvd,align,80,4,0.001,1.42679819198972
dvd,alignf,80,4,1,1.40188101410897
dvd,alignfc,80,4,0.1,1.4002223037982
dvd,uniform,80,4,100,1.55108564356858
dvd,align,160,4,0.1,1.40888887856064
dvd,alignf,160,4,1,1.38166033483687
dvd,alignfc,160,4,0.1,1.38519790679835
dvd,uniform,160,4,100,1.51762696672033
dvd,align,320,4,0.1,1.40263614270693
dvd,alignf,320,4,1,1.37915989706043
dvd,alignfc,320,4,0.1,1.38518298307654
dvd,uniform,320,4,100,1.4541047111335
dvd,Mklaren,10,0,0.001,1.45160317842278
dvd,Mklaren,20,0,0.001,1.41731011434879
dvd,Mklaren,40,0,0.1,1.38335705575137
dvd,Mklaren,80,0,1,1.38034291479777
dvd,Mklaren,160,0,1,1.37520786612529
dvd,Mklaren,320,0,1,1.3840298999538
dvd,Mklaren,10,1,0.1,1.43818689226976
dvd,Mklaren,20,1,0.1,1.39347172063628
dvd,Mklaren,40,1,0.1,1.3858275792261
dvd,Mklaren,80,1,1,1.37630358835178
dvd,Mklaren,160,1,1,1.37213722533703
dvd,Mklaren,320,1,1,1.38343747876397
dvd,Mklaren,10,2,0.1,1.43501026790138
dvd,Mklaren,20,2,0.1,1.39955983602788
dvd,Mklaren,40,2,0.1,1.39518379343035
dvd,Mklaren,80,2,1,1.39336986494854
dvd,Mklaren,160,2,1,1.37443193825658
dvd,Mklaren,320,2,1,1.380406724773
dvd,Mklaren,10,3,0.1,1.46662932422537
dvd,Mklaren,20,3,0.01,1.4099286943846
dvd,Mklaren,40,3,0.01,1.37933842522398
dvd,Mklaren,80,3,1,1.38667190434162
dvd,Mklaren,160,3,1,1.36920830774155
dvd,Mklaren,320,3,1,1.38054497611824
dvd,Mklaren,10,4,0.001,1.4450431322532
dvd,Mklaren,20,4,0.001,1.40238395431409
dvd,Mklaren,40,4,0.1,1.39099752007047
dvd,Mklaren,80,4,1,1.3891905320213
dvd,Mklaren,160,4,1,1.37287928963625
dvd,Mklaren,320,4,1,1.38555392947811
