dataset,method,rank,iteration,lambda,RMSE
electronics,align,10,0,100,1.49174819573233
electronics,alignf,10,0,1,1.46399260974356
electronics,alignfc,10,0,1,1.45648938020367
electronics,uniform,10,0,1,1.57170615667161
electronics,align,20,0,100,1.49250882422865
electronics,alignf,20,0,10,1.42687223090427
electronics,alignfc,20,0,1,1.3790572320878
electronics,uniform,20,0,100,1.56380887561135
electronics,align,40,0,100,1.49088485682025
electronics,alignf,40,0,10,1.33683756034746
electronics,alignfc,40,0,1,1.32883457992445
electronics,uniform,40,0,100,1.54439870578831
electronics,align,80,0,0.1,1.32308696417033
electronics,alignf,80,0,1,1.3406830739449
electronics,alignfc,80,0,1,1.3099858294721
electronics,uniform,80,0,100,1.51375947619044
electronics,align,160,0,0.1,1.33221068096791
electronics,alignf,160,0,10,1.31057264756653
electronics,alignfc,160,0,1,1.29320358093204
electronics,uniform,160,0,100,1.39151592513865
electronics,align,320,0,1,1.34152885808682
electronics,alignf,320,0,10,1.29534166436879
electronics,alignfc,320,0,1,1.2932033097751
electronics,uniform,320,0,1000,1.40422031417111
electronics,align,10,1,10,1.45577874017011
electronics,alignf,10,1,10,1.4588454512448
electronics,alignfc,10,1,1,1.46007079517981
electronics,uniform,10,1,1000,1.57597903846304
electronics,align,20,1,0.1,1.3933885644041
electronics,alignf,20,1,10,1.40639691709172
electronics,alignfc,20,1,1,1.35819322898376
electronics,uniform,20,1,100,1.56321871627382
electronics,align,40,1,1,1.35575154983778
electronics,alignf,40,1,1,1.33798915390956
electronics,alignfc,40,1,0.1,1.34187325989514
electronics,uniform,40,1,1000,1.56856998896365
electronics,align,80,1,1,1.33005788102683
electronics,alignf,80,1,10,1.32331570629715
electronics,alignfc,80,1,1,1.3046076075268
electronics,uniform,80,1,100,1.51567862090037
electronics,align,160,1,1,1.32528604034042
electronics,alignf,160,1,10,1.31076787016494
electronics,alignfc,160,1,1,1.30443264718394
electronics,uniform,160,1,100,1.3988355504746
electronics,align,320,1,1,1.32419621726542
electronics,alignf,320,1,10,1.30647425370388
electronics,alignfc,320,1,1,1.304432411184
electronics,uniform,320,1,1000,1.40302884353921
electronics,align,10,2,0.001,1.45944790262193
electronics,alignf,10,2,10,1.45961720550639
electronics,alignfc,10,2,1,1.46402076864069
electronics,uniform,10,2,0.001,1.57008536640782
electronics,align,20,2,1,1.42281926476073
electronics,alignf,20,2,1,1.45136624626147
electronics,alignfc,20,2,1,1.39458243865879
electronics,uniform,20,2,1,1.55922436083131
electronics,align,40,2,1,1.3641583299376
electronics,alignf,40,2,10,1.35426020167357
electronics,alignfc,40,2,1,1.33876636905792
electronics,uniform,40,2,0.001,1.55329414321524
electronics,align,80,2,0.1,1.32018483397295
electronics,alignf,80,2,1,1.34316390028077
electronics,alignfc,80,2,1,1.31907694855992
electronics,uniform,80,2,10,1.52900196027061
electronics,align,160,2,0.1,1.3240423277682
electronics,alignf,160,2,1,1.32790069124739
electronics,alignfc,160,2,1,1.31458159012882
electronics,uniform,160,2,100,1.39847465907895
electronics,align,320,2,0.1,1.32440361250805
electronics,alignf,320,2,1,1.32459559758308
electronics,alignfc,320,2,1,1.31458149849013
electronics,uniform,320,2,100,1.35266895542183
electronics,align,10,3,0.001,1.45372922469576
electronics,alignf,10,3,1,1.45489226561809
electronics,alignfc,10,3,0.1,1.45772461877888
electronics,uniform,10,3,1000,1.57590185214218
electronics,align,20,3,1,1.40298632756028
electronics,alignf,20,3,0.001,1.41673564138197
electronics,alignfc,20,3,0.001,1.36785723046787
electronics,uniform,20,3,1000,1.57396310427882
electronics,align,40,3,1,1.35083377148731
electronics,alignf,40,3,1,1.33977560089753
electronics,alignfc,40,3,0.1,1.34577910727209
electronics,uniform,40,3,100,1.54611091222712
electronics,align,80,3,0.1,1.32796976294194
electronics,alignf,80,3,10,1.32129755736487
electronics,alignfc,80,3,1,1.30088285533066
electronics,uniform,80,3,100,1.51382682377933
electronics,align,160,3,1,1.32055063728847
electronics,alignf,160,3,10,1.30509135960935
electronics,alignfc,160,3,1,1.29957004430221
electronics,uniform,160,3,100,1.39005119231809
electronics,align,320,3,1,1.31913595662209
electronics,alignf,320,3,10,1.29685911495505
electronics,alignfc,320,3,1,1.29957085192097
electronics,uniform,320,3,100,1.34986302184715
electronics,align,10,4,10,1.45434968945629
electronics,alignf,10,4,10,1.46198404563138
electronics,alignfc,10,4,1,1.4531641129731
electronics,uniform,10,4,0.001,1.57154276096555
electronics,align,20,4,0.1,1.42995341054714
electronics,alignf,20,4,10,1.41768939569493
electronics,alignfc,20,4,1,1.40419921663638
electronics,uniform,20,4,10,1.56113282079338
electronics,align,40,4,1,1.35648064613373
electronics,alignf,40,4,1,1.35663417535769
electronics,alignfc,40,4,1,1.33533866947717
electronics,uniform,40,4,0.001,1.55130577883709
electronics,align,80,4,1,1.3359637596404
electronics,alignf,80,4,10,1.32214089345689
electronics,alignfc,80,4,1,1.30545861820854
electronics,uniform,80,4,100,1.51501011636441
electronics,align,160,4,1,1.33045193693583
electronics,alignf,160,4,10,1.30865502999074
electronics,alignfc,160,4,1,1.29827257554817
electronics,uniform,160,4,100,1.39778318862087
electronics,align,320,4,1,1.32832819043775
electronics,alignf,320,4,10,1.29665522514306
electronics,alignfc,320,4,1,1.2982725336337
electronics,uniform,320,4,100,1.35573268148524
electronics,Mklaren,10,0,0.1,1.37944723070065
electronics,Mklaren,20,0,1,1.35201613938852
electronics,Mklaren,40,0,0.1,1.32152316553439
electronics,Mklaren,80,0,1,1.31702922341579
electronics,Mklaren,160,0,1,1.30685041585415
electronics,Mklaren,320,0,1,1.29514395253047
electronics,Mklaren,10,1,0.1,1.39126099989737
electronics,Mklaren,20,1,0.1,1.34338385051207
electronics,Mklaren,40,1,0.1,1.32124859634252
electronics,Mklaren,80,1,1,1.31736097953442
electronics,Mklaren,160,1,1,1.3043461235366
electronics,Mklaren,320,1,1,1.29873908935135
electronics,Mklaren,10,2,0.1,1.40920636242548
electronics,Mklaren,20,2,1,1.36710015959584
electronics,Mklaren,40,2,0.1,1.33298456290896
electronics,Mklaren,80,2,0.1,1.34897745616614
electronics,Mklaren,160,2,1,1.31061811070737
electronics,Mklaren,320,2,1,1.30306595768133
electronics,Mklaren,10,3,0.001,1.39393806760701
electronics,Mklaren,20,3,0.01,1.32916284717021
electronics,Mklaren,40,3,0.1,1.31362874232018
electronics,Mklaren,80,3,1,1.31996455976372
electronics,Mklaren,160,3,1,1.3032134622624
electronics,Mklaren,320,3,1,1.30061406295453
electronics,Mklaren,10,4,0.01,1.3942881731663
electronics,Mklaren,20,4,1,1.36876375252116
electronics,Mklaren,40,4,0.1,1.31463073550882
electronics,Mklaren,80,4,1,1.319427976107
electronics,Mklaren,160,4,1,1.30493570995609
electronics,Mklaren,320,4,1,1.30132554412073
