dataset,method,rank,iteration,lambda,RMSE
kitchen,align,10,0,0.001,1.41767251080698
kitchen,alignf,10,0,0.001,1.4425024709828
kitchen,alignfc,10,0,0.01,1.45283039430104
kitchen,uniform,10,0,1000,1.5805461927434
kitchen,align,20,0,1,1.40585556360543
kitchen,alignf,20,0,1,1.36829692137
kitchen,alignfc,20,0,0.1,1.36706099004551
kitchen,uniform,20,0,10,1.55760958430307
kitchen,align,40,0,0.001,1.35580629557044
kitchen,alignf,40,0,1,1.32016532149763
kitchen,alignfc,40,0,0.1,1.31101253064655
kitchen,uniform,40,0,10,1.54311937110784
kitchen,align,80,0,0.01,1.31335460026828
kitchen,alignf,80,0,1,1.30527171303345
kitchen,alignfc,80,0,1,1.28535985908007
kitchen,uniform,80,0,100,1.49440389139472
kitchen,align,160,0,0.1,1.29317229951202
kitchen,alignf,160,0,1,1.28295741630131
kitchen,alignfc,160,0,1,1.27696059699481
kitchen,uniform,160,0,100,1.38483776458765
kitchen,align,320,0,0.1,1.28950367514957
kitchen,alignf,320,0,1,1.26764632815382
kitchen,alignfc,320,0,1,1.27695920049159
kitchen,uniform,320,0,100,1.32569947905731
kitchen,align,10,1,0.001,1.4385694414751
kitchen,alignf,10,1,0.001,1.43879378970834
kitchen,alignfc,10,1,0.001,1.43879548846065
kitchen,uniform,10,1,100,1.57938838011875
kitchen,align,20,1,1,1.41619717782639
kitchen,alignf,20,1,0.001,1.38286113695527
kitchen,alignfc,20,1,0.1,1.35039626417456
kitchen,uniform,20,1,10,1.5558379479503
kitchen,align,40,1,0.001,1.35052034024317
kitchen,alignf,40,1,1,1.3225316889764
kitchen,alignfc,40,1,0.1,1.3235781335049
kitchen,uniform,40,1,100,1.54528755548384
kitchen,align,80,1,0.01,1.30888747726811
kitchen,alignf,80,1,1,1.30146417852449
kitchen,alignfc,80,1,0.1,1.29154030203649
kitchen,uniform,80,1,100,1.49633963843943
kitchen,align,160,1,0.1,1.30109159985639
kitchen,alignf,160,1,1,1.2716074334891
kitchen,alignfc,160,1,0.1,1.26957176585018
kitchen,uniform,160,1,100,1.39185443189673
kitchen,align,320,1,0.1,1.29318212236529
kitchen,alignf,320,1,1,1.26620042766632
kitchen,alignfc,320,1,0.1,1.26960081865939
kitchen,uniform,320,1,100,1.33973992765101
kitchen,align,10,2,10,1.44754405933741
kitchen,alignf,10,2,1,1.44561350195042
kitchen,alignfc,10,2,1,1.43674868633475
kitchen,uniform,10,2,1000,1.58084844818782
kitchen,align,20,2,1,1.42094053637295
kitchen,alignf,20,2,0.001,1.36237452349194
kitchen,alignfc,20,2,0.001,1.3501401805892
kitchen,uniform,20,2,100,1.56094030274052
kitchen,align,40,2,0.001,1.34331723849408
kitchen,alignf,40,2,1,1.32067121923408
kitchen,alignfc,40,2,0.1,1.33284586322645
kitchen,uniform,40,2,100,1.54671640086738
kitchen,align,80,2,0.1,1.32268523339285
kitchen,alignf,80,2,1,1.29157792659676
kitchen,alignfc,80,2,0.1,1.29307305937652
kitchen,uniform,80,2,100,1.49402625510254
kitchen,align,160,2,0.01,1.34432291108636
kitchen,alignf,160,2,1,1.28210563000251
kitchen,alignfc,160,2,0.1,1.2689092871874
kitchen,uniform,160,2,10,1.42694142806753
kitchen,align,320,2,0.1,1.30710443016256
kitchen,alignf,320,2,1,1.26626722210026
kitchen,alignfc,320,2,0.1,1.26890654532473
kitchen,uniform,320,2,100,1.33905951902201
kitchen,align,10,3,1,1.41676080903233
kitchen,alignf,10,3,0.001,1.45287277926686
kitchen,alignfc,10,3,0.001,1.44580976820265
kitchen,uniform,10,3,100,1.5786046146024
kitchen,align,20,3,10,1.4248062575816
kitchen,alignf,20,3,1,1.41417247864567
kitchen,alignfc,20,3,0.1,1.38777914599961
kitchen,uniform,20,3,10,1.55585614962685
kitchen,align,40,3,0.001,1.3451021323511
kitchen,alignf,40,3,0.1,1.32306532056056
kitchen,alignfc,40,3,0.01,1.31805556491585
kitchen,uniform,40,3,10,1.54363634982274
kitchen,align,80,3,1,1.33679878616351
kitchen,alignf,80,3,1,1.29353761769264
kitchen,alignfc,80,3,0.1,1.29800450533458
kitchen,uniform,80,3,100,1.49197479335087
kitchen,align,160,3,0.1,1.30218009728435
kitchen,alignf,160,3,1,1.28254562890594
kitchen,alignfc,160,3,0.1,1.26969680457907
kitchen,uniform,160,3,100,1.38648593445337
kitchen,align,320,3,0.01,1.34586324587725
kitchen,alignf,320,3,1,1.25642834769164
kitchen,alignfc,320,3,0.1,1.26969329195175
kitchen,uniform,320,3,100,1.32747113604616
kitchen,align,10,4,0.001,1.43775474580652
kitchen,alignf,10,4,1,1.46102463657739
kitchen,alignfc,10,4,0.1,1.45658838836082
kitchen,uniform,10,4,1000,1.5809867582565
kitchen,align,20,4,0.1,1.39236485295846
kitchen,alignf,20,4,10,1.39582685015769
kitchen,alignfc,20,4,1,1.39940328434544
kitchen,uniform,20,4,1000,1.57648620197664
kitchen,align,40,4,0.1,1.35766374634598
kitchen,alignf,40,4,1,1.31153850517551
kitchen,alignfc,40,4,1,1.31164051434039
kitchen,uniform,40,4,100,1.54478884077555
kitchen,align,80,4,0.1,1.31943061703148
kitchen,alignf,80,4,1,1.29593038006683
kitchen,alignfc,80,4,0.1,1.28690952029068
kitchen,uniform,80,4,100,1.49124339162161
kitchen,align,160,4,0.1,1.29764439723368
kitchen,alignf,160,4,1,1.28262177241646
kitchen,alignfc,160,4,0.1,1.26236152190272
kitchen,uniform,160,4,100,1.38644712724977
kitchen,align,320,4,0.1,1.29693557950029
kitchen,alignf,320,4,1,1.25842162750455
kitchen,alignfc,320,4,0.1,1.26241336945043
kitchen,uniform,320,4,100,1.33392158710873
kitchen,Mklaren,10,0,0.1,1.36153466898465
kitchen,Mklaren,20,0,0.1,1.3180996828636
kitchen,Mklaren,40,0,0.1,1.28347058741261
kitchen,Mklaren,80,0,0.1,1.30383774654298
kitchen,Mklaren,160,0,1,1.27912315332561
kitchen,Mklaren,320,0,1,1.28666692772371
kitchen,Mklaren,10,1,0.001,1.35350585569369
kitchen,Mklaren,20,1,0.001,1.32089719995581
kitchen,Mklaren,40,1,0.1,1.29278284859685
kitchen,Mklaren,80,1,1,1.30270583019612
kitchen,Mklaren,160,1,1,1.28711309241092
kitchen,Mklaren,320,1,1,1.28047850845366
