experiment,signal,tsi,method,mse_val,mse_f,mse_y,rank,lbd,n,time
exponential,T1,1,Mklaren,2.5414408270725439,0,2.5288657962200753,7,0,gamma,0.6941440105438232
exponential,T1,1,CSI,7.0461304096079918,0,7.0481581403275539,7,0,gamma,0.5023190975189209
exponential,T1,1,FITC,3.4798690068869149,0,3.5915918179549702,7,0,gamma,0.8548691272735596
exponential,T1,1,Nystrom,6.6761560907645743,0,4.0691257768979945,7,0,gamma,0.05461883544921875
exponential,T1,1,ICD,5.836257706696875,0,5.8127595987817138,7,0,gamma,0.23364901542663574
exponential,T1,1,RFF,3.2591621886425153,0,2.7431910203024832,7,0,gamma,0.0035610198974609375
exponential,T1,2,Mklaren,1.8064605007758654,0,1.7928155313349958,7,0,gamma,0.6872448921203613
exponential,T1,2,CSI,1.8016783256349309,0,1.7992832734265554,7,0,gamma,0.39943408966064453
exponential,T1,2,FITC,1.355680523980342,0,1.3501296382919443,7,0,gamma,3.8866770267486572
exponential,T1,2,Nystrom,2.8642323512022512,0,2.4533340324480424,7,0,gamma,0.054852962493896484
exponential,T1,2,ICD,4.1961282016510228,0,4.1924020641944288,7,0,gamma,0.2341618537902832
exponential,T1,2,RFF,2.8510310853775431,0,1.0313526632382704,7,0,gamma,0.0037271976470947266
exponential,T1,3,Mklaren,1.1195616423430033,0,1.1220402244894909,7,0,gamma,0.6913537979125977
exponential,T1,3,CSI,2.4816388363184663,0,2.4860543043917556,7,0,gamma,0.407804012298584
exponential,T1,3,FITC,1.2103620536227473,0,1.2551978759703291,7,0,gamma,1.9027550220489502
exponential,T1,3,Nystrom,4.4512208729096372,0,3.377464069872067,7,0,gamma,0.05492687225341797
exponential,T1,3,ICD,1.6040127238506112,0,1.6037562813216848,7,0,gamma,0.23501896858215332
exponential,T1,3,RFF,1.0190456229574232,0,1.1204913676150883,7,0,gamma,0.0036029815673828125
exponential,T1,4,Mklaren,1.3118025680020025,0,1.324526841162688,7,0,gamma,0.6828429698944092
exponential,T1,4,CSI,1.5667625887637637,0,1.5786977190969689,7,0,gamma,0.437650203704834
exponential,T1,4,FITC,1.6158299575001867,0,1.7947871266883089,7,0,gamma,1.773988962173462
exponential,T1,4,Nystrom,3.3379279784610172,0,2.2575329310451164,7,0,gamma,0.06540513038635254
exponential,T1,4,ICD,1.9082885231863589,0,1.91152927300746,7,0,gamma,0.27882909774780273
exponential,T1,4,RFF,1.4155886060649538,0,0.53071698299391878,7,0,gamma,0.004019975662231445
exponential,T1,5,Mklaren,3.0676379160000535,0,3.0648357863057547,7,0,gamma,0.8070001602172852
exponential,T1,5,CSI,9.6373091812035305,0,9.6522352932175437,7,0,gamma,0.584057092666626
exponential,T1,5,FITC,3.5437701735417395,0,3.7606412904189122,7,0,gamma,4.178260087966919
exponential,T1,5,Nystrom,5.2693842976129668,0,6.0659763915056217,7,0,gamma,0.0650339126586914
exponential,T1,5,ICD,6.6181424450166135,0,6.6118517630742542,7,0,gamma,0.27717113494873047
exponential,T1,5,RFF,2.0125234475405138,0,2.9550560785106188,7,0,gamma,0.004425048828125
exponential,T1,6,Mklaren,3.3458581104369323,0,3.3467431634277394,7,0,gamma,0.8048069477081299
exponential,T1,6,CSI,4.6544476635244925,0,4.6480223818647923,7,0,gamma,0.49251508712768555
exponential,T1,6,FITC,4.2301301598923562,0,4.2278617586474851,7,0,gamma,3.80366587638855
exponential,T1,6,Nystrom,5.3659392507588262,0,4.6216120925954378,7,0,gamma,0.0648801326751709
exponential,T1,6,ICD,4.7479549218857748,0,4.7364822520203136,7,0,gamma,0.27662205696105957
exponential,T1,6,RFF,4.2647352334547106,0,2.9834593298674568,7,0,gamma,0.005036115646362305
exponential,T1,7,Mklaren,3.7964361679017613,0,3.8036788468281277,7,0,gamma,0.7999000549316406
exponential,T1,7,CSI,3.8799463161570573,0,3.8956738396538038,7,0,gamma,0.4417400360107422
exponential,T1,7,FITC,5.2474525822805322,0,5.2564637239692003,7,0,gamma,13.189817905426025
exponential,T1,7,Nystrom,4.9928349966768053,0,4.4961095413840537,7,0,gamma,0.06479215621948242
exponential,T1,7,ICD,6.1470866158939756,0,6.1601111162157274,7,0,gamma,0.27614903450012207
exponential,T1,7,RFF,4.5379453177082798,0,3.1480309948015508,7,0,gamma,0.004205942153930664
exponential,T1,8,Mklaren,7.476922087736674,0,7.4821290307297037,7,0,gamma,0.8040111064910889
exponential,T1,8,CSI,7.7559080716625939,0,7.7666808288685241,7,0,gamma,0.41862988471984863
exponential,T1,8,FITC,8.2754380893253909,0,7.7917052989694238,7,0,gamma,4.0265748500823975
exponential,T1,8,Nystrom,8.0079619850752923,0,8.5127490187033814,7,0,gamma,0.06515216827392578
exponential,T1,8,ICD,8.1801709739206494,0,8.1969334634079836,7,0,gamma,0.29480695724487305
exponential,T1,8,RFF,7.605389460217455,0,2.3777667140679277,7,0,gamma,0.004228115081787109
exponential,T1,9,Mklaren,4.4354259270266301,0,4.4346414754669388,7,0,gamma,0.976020097732544
exponential,T1,9,CSI,6.1435966602495231,0,6.1432256026631471,7,0,gamma,0.46845579147338867
exponential,T1,9,FITC,5.6868080080827763,0,5.6854000081722837,7,0,gamma,8.930283069610596
exponential,T1,9,Nystrom,5.7912657890449157,0,5.6010261448434449,7,0,gamma,0.08142900466918945
exponential,T1,9,ICD,5.9356068487321174,0,5.9315956762776931,7,0,gamma,0.37416505813598633
exponential,T1,9,RFF,1.6262214962067514,0,3.2846572690754603,7,0,gamma,0.0060558319091796875
exponential,T1,10,Mklaren,5.6947721314733162,0,5.6779959724805549,7,0,gamma,0.8036220073699951
exponential,T1,10,CSI,5.8026244537708704,0,5.782081749775581,7,0,gamma,0.5034909248352051
exponential,T1,10,FITC,7.2677438301338935,0,7.2427195394513699,7,0,gamma,3.399658203125
exponential,T1,10,Nystrom,7.4063365994809613,0,7.2032968681805452,7,0,gamma,0.06476092338562012
exponential,T1,10,ICD,6.4794053455737632,0,6.4520339476290989,7,0,gamma,0.27647900581359863
exponential,T1,10,RFF,2.5031681562295942,0,2.7853183513391579,7,0,gamma,0.004188060760498047
exponential,T1,11,Mklaren,2.1619376863586863,0,2.1568644160916164,7,0,gamma,0.8046920299530029
exponential,T1,11,CSI,4.1455227088425755,0,4.1536293808373204,7,0,gamma,0.42829203605651855
exponential,T1,11,FITC,2.5811624061980813,0,2.5640796382373701,7,0,gamma,5.143833875656128
exponential,T1,11,Nystrom,8.4700214021544298,0,8.5434393247763154,7,0,gamma,0.0648350715637207
exponential,T1,11,ICD,3.8771096750948795,0,3.8801862620845138,7,0,gamma,0.27669501304626465
exponential,T1,11,RFF,1.9501329038200603,0,1.5651016410315701,7,0,gamma,0.004220008850097656
exponential,T1,12,Mklaren,5.0713870445800815,0,5.0679313505899213,7,0,gamma,0.7961821556091309
exponential,T1,12,CSI,5.5888467503873329,0,5.5811336856486458,7,0,gamma,0.47839999198913574
exponential,T1,12,FITC,4.9768936788960509,0,4.9796978683490503,7,0,gamma,2.8473758697509766
exponential,T1,12,Nystrom,5.5121888592611663,0,5.3925451123362276,7,0,gamma,0.06462812423706055
exponential,T1,12,ICD,4.8996836633466812,0,4.9075174508589816,7,0,gamma,0.2954099178314209
exponential,T1,12,RFF,4.8764126742653229,0,1.5550256684624086,7,0,gamma,0.004633903503417969
exponential,T1,13,Mklaren,6.5711304271523243,0,6.5859018811034087,7,0,gamma,1.0997939109802246
exponential,T1,13,CSI,7.0671734542449318,0,7.0876861179438739,7,0,gamma,0.49992799758911133
exponential,T1,13,FITC,7.2317008737737183,0,7.2456226670743611,7,0,gamma,11.085117101669312
exponential,T1,13,Nystrom,7.9035770704706234,0,9.2989117267511148,7,0,gamma,0.0647890567779541
exponential,T1,13,ICD,8.4349096021136951,0,8.4398122483213509,7,0,gamma,0.27514004707336426
exponential,T1,13,RFF,5.5745491794151079,0,5.1305127345617096,7,0,gamma,0.00602412223815918
