experiment,signal,tsi,method,mse_val,mse_f,mse_y,rank,lbd,n,time
periodic,T1,2,CSI,3.75252973125902,0,3.72980943307432,7,0,per,2.34727215766907
periodic,T1,2,Nystrom,5.0879576725508,0,3.90046354463488,7,0,per,1.50421285629272
periodic,T1,2,Mklaren,1.90107566390028,0,1.89149554440087,7,0,per,8.47254490852356
periodic,T1,2,ICD,3.98731207345804,0,3.98226232754895,7,0,per,4.75106692314148
periodic,T1,3,CSI,2.27819446221271,0,2.2826165913348,7,0,per,2.36061906814575
periodic,T1,3,Nystrom,3.88587376904644,0,3.04100599149657,7,0,per,1.50464415550232
periodic,T1,3,Mklaren,325832.431468886,0,326176.235846423,7,0,per,8.48647689819336
periodic,T1,3,ICD,2.9373883751573,0,2.93355936821033,7,0,per,4.76804995536804
periodic,T1,10,CSI,6.73480335058532,0,6.70693122657706,7,0,per,2.36479687690735
periodic,T1,10,Nystrom,7.4771882965411,0,7.42340004146344,7,0,per,1.50445914268494
periodic,T1,10,Mklaren,10266.9429174287,0,10236.4919268908,7,0,per,8.51266288757324
periodic,T1,10,ICD,7.35998090166331,0,7.33523952038138,7,0,per,4.76169204711914
periodic,T1,12,CSI,5.42815592332447,0,5.43238831649352,7,0,per,2.37480497360229
periodic,T1,12,Nystrom,6.4120245237539,0,6.28561426276033,7,0,per,1.53673100471497
periodic,T1,12,Mklaren,4.53149062152574,0,4.52909952977256,7,0,per,8.49235987663269
periodic,T1,12,ICD,6.0691940879478,0,6.06599086866813,7,0,per,4.76431512832642
periodic,T1,16,CSI,21.2859278836986,0,21.2829804054104,7,0,per,2.33019208908081
periodic,T1,16,Nystrom,24.4945510519066,0,21.9248283241172,7,0,per,1.50514602661133
periodic,T1,16,Mklaren,510.766114085423,0,523.559033498141,7,0,per,8.48585891723633
periodic,T1,16,ICD,24.8228079169565,0,24.8085391344435,7,0,per,4.76028800010681
periodic,T1,1,CSI,14.1520752701042,0,14.1222910484767,7,0.1,per,2.36862015724182
periodic,T1,1,Nystrom,15.0370187016096,0,11.639768538725,7,0.1,per,3.38724088668823
periodic,T1,1,Mklaren,6.97155589390695,0,6.91958392244503,7,0.1,per,8.59056901931763
periodic,T1,1,ICD,14.6433287956465,0,14.6224192420305,7,0.1,per,4.7725989818573
periodic,T1,2,CSI,3.76668832915353,0,3.74419447788065,7,0.1,per,2.37074995040894
periodic,T1,2,Nystrom,5.52653642277483,0,5.37992610559905,7,0.1,per,3.39061498641968
periodic,T1,2,Mklaren,2.54903717729233,0,2.53694531980841,7,0.1,per,8.56292700767517
periodic,T1,2,ICD,4.22595823448189,0,4.21653791182504,7,0.1,per,4.77876091003418
periodic,T1,3,CSI,2.2790520399956,0,2.28345367277961,7,0.1,per,2.24105596542358
periodic,T1,3,Nystrom,2.71327706615962,0,3.56444273167864,7,0.1,per,3.39269495010376
periodic,T1,3,Mklaren,1.3654122656633,0,1.36441224714926,7,0.1,per,8.52007389068604
periodic,T1,3,ICD,3.04640809766173,0,3.04517550896478,7,0.1,per,4.79144096374512
periodic,T1,4,CSI,2.77924850990966,0,2.79443643499898,7,0.1,per,2.37085604667664
periodic,T1,4,Nystrom,3.56996791560229,0,3.50381631993824,7,0.1,per,3.40473389625549
periodic,T1,4,Mklaren,1.64884693886166,0,1.66170537183032,7,0.1,per,8.56372499465942
periodic,T1,4,ICD,3.44603138552669,0,3.46469186203934,7,0.1,per,4.76410698890686
periodic,T1,5,CSI,12.0593909662685,0,12.046935234289,7,0.1,per,2.34683609008789
periodic,T1,5,Nystrom,16.8094692316843,0,10.2990241986686,7,0.1,per,3.3890209197998
periodic,T1,5,Mklaren,4.43838418447965,0,4.42176295358678,7,0.1,per,8.54851698875427
periodic,T1,5,ICD,12.3957136160043,0,12.3889654821765,7,0.1,per,4.77379989624023
periodic,T1,6,CSI,5.38856694112357,0,5.37984569210666,7,0.1,per,2.36379289627075
periodic,T1,6,Nystrom,6.63612147983892,0,5.91456371597907,7,0.1,per,3.39018177986145
periodic,T1,6,Mklaren,5.85666846128715,0,5.85734284730384,7,0.1,per,8.52525806427002
periodic,T1,6,ICD,6.62672646317189,0,6.61015797460115,7,0.1,per,4.77987599372864
periodic,T1,7,CSI,4.7355014810445,0,4.75228706994916,7,0.1,per,2.38506197929382
periodic,T1,7,Nystrom,5.78023251801674,0,6.27893209195734,7,0.1,per,3.40086388587952
periodic,T1,7,Mklaren,5.1381339511248,0,5.17017520346135,7,0.1,per,8.51888298988342
periodic,T1,7,ICD,5.59158312002994,0,5.60534691131476,7,0.1,per,4.82385087013245
periodic,T1,8,CSI,7.40642918467249,0,7.4256240186805,7,0.1,per,2.35583090782166
periodic,T1,8,Nystrom,8.33446397703667,0,8.7284727372732,7,0.1,per,3.36861085891724
periodic,T1,8,Mklaren,8.03917254736274,0,8.05034241265164,7,0.1,per,8.56441497802734
periodic,T1,8,ICD,8.44923817896247,0,8.45708755616629,7,0.1,per,4.74957299232483
periodic,T1,9,CSI,5.18466268554231,0,5.19053111517755,7,0.1,per,2.35579705238342
periodic,T1,9,Nystrom,5.80128187279557,0,5.4879448974174,7,0.1,per,3.36828589439392
periodic,T1,9,Mklaren,4.41633926241026,0,4.42083754766391,7,0.1,per,8.55333399772644
periodic,T1,9,ICD,5.66099727583616,0,5.65655457496463,7,0.1,per,4.76271891593933
periodic,T1,10,CSI,6.73669295521639,0,6.70891914429487,7,0.1,per,2.30765080451965
periodic,T1,10,Nystrom,7.24663394583894,0,7.05223397677759,7,0.1,per,3.36824011802673
periodic,T1,10,Mklaren,6.39819565305943,0,6.37378518654728,7,0.1,per,8.45482110977173
periodic,T1,10,ICD,7.39373025163286,0,7.36950180724216,7,0.1,per,4.74734592437744
periodic,T1,11,CSI,5.86016427058992,0,5.86751010959531,7,0.1,per,2.37518405914307
periodic,T1,11,Nystrom,10.1170921540002,0,7.30734715687775,7,0.1,per,3.36811280250549
periodic,T1,11,Mklaren,6.00110012063486,0,5.98079784274384,7,0.1,per,8.50482320785522
periodic,T1,11,ICD,9.22181542749498,0,9.23370858792821,7,0.1,per,4.75693011283875
periodic,T1,12,CSI,5.42944590409781,0,5.43338495168327,7,0.1,per,2.41776990890503
periodic,T1,12,Nystrom,6.12653328967431,0,6.1685858649532,7,0.1,per,3.35854482650757
periodic,T1,12,Mklaren,5.16529276887614,0,5.15978666593,7,0.1,per,8.51666402816772
periodic,T1,12,ICD,6.06910855659818,0,6.06557572207164,7,0.1,per,4.74974298477173
periodic,T1,13,CSI,7.89173064246964,0,7.90805744956485,7,0.1,per,2.2980968952179
periodic,T1,13,Nystrom,11.0512162283079,0,10.6008726574324,7,0.1,per,3.36986994743347
periodic,T1,13,Mklaren,6.81425020256781,0,6.82783506665796,7,0.1,per,8.49808883666992
periodic,T1,13,ICD,10.0620914890356,0,10.0897303488616,7,0.1,per,4.91040205955505
periodic,T1,14,CSI,9.59409229798926,0,9.61349473359651,7,0.1,per,2.30119919776917
