kernel,noise,score,corr,p,method,rank,N
exponential,0,1.7901950089734586,0.96815139222065671,1,lars,5,300
exponential,0,2.2555276002231008,0.94894419140671493,1,greedy,5,300
exponential,0,0.82865070985271971,0.99123876363753494,1,lars,5,300
exponential,0,0.90574414003383963,0.98952370620576346,1,greedy,5,300
exponential,0,1.457248284163341,0.99744104048599402,1,lars,5,300
exponential,0,2.4027377882492966,0.99302780253389344,1,greedy,5,300
exponential,0,11.40716348755846,0.93523675744805213,1,lars,5,300
exponential,0,8.910769038000641,0.9610004094691883,1,greedy,5,300
exponential,0,0.68134776128487662,0.99141928410509872,1,lars,5,300
exponential,0,0.51588067189593312,0.99508996493064483,1,greedy,5,300
exponential,0,0.98642681599879334,0.99843914641916731,1,lars,5,300
exponential,0,1.1443915379862017,0.9978986462163536,1,greedy,5,300
exponential,0,6.8621779401969949,0.95706490690693946,1,lars,5,300
exponential,0,8.2470577211570646,0.93735557620838705,1,greedy,5,300
exponential,0,0.64589789548898968,0.99879993715273019,1,lars,5,300
exponential,0,0.7883566613654478,0.99821166213247703,1,greedy,5,300
exponential,0,13.143189278867803,0.95388733257027902,1,lars,5,300
exponential,0,10.908037869095137,0.96847304406869872,1,greedy,5,300
exponential,0,0.63209991331071869,0.9910601047158073,1,lars,5,300
exponential,0,0.17669998287726937,0.99930427203303229,1,greedy,5,300
exponential,0,1.7813171343901506,0.99590695395201601,1,lars,5,300
exponential,0,2.3800491520968654,0.99268122401080139,1,greedy,5,300
exponential,0,14.730580816750054,0.99139450581548672,1,lars,5,300
exponential,0,19.796026896888645,0.98440377819388059,1,greedy,5,300
exponential,0,2.5519464199494672,0.98903408295568118,1,lars,5,300
exponential,0,3.1348915375613053,0.983404982423566,1,greedy,5,300
exponential,0,2.6342587016337062,0.99170882744449995,1,lars,5,300
exponential,0,4.0611658049632311,0.98017916665999283,1,greedy,5,300
exponential,0,2.174981344362322,0.90157774682005176,1,lars,5,300
exponential,0,2.1579437605137928,0.90319606057753721,1,greedy,5,300
exponential,0,4.2317541689760318,0.99746770886576053,1,lars,5,300
exponential,0,7.5371396853841599,0.99194457574957717,1,greedy,5,300
exponential,0,1.5992893489770101,0.99277775586793404,1,lars,5,300
exponential,0,1.9912097486405509,0.98878178321893051,1,greedy,5,300
exponential,0,7.9720674059426573,0.79989889302869521,1,lars,5,300
exponential,0,5.5645422925014207,0.90803374079057597,1,greedy,5,300
exponential,0,17.945992517595158,0.99203881282666573,1,lars,5,300
exponential,0,20.821943796475207,0.98926777029813207,1,greedy,5,300
exponential,0,9.3950086088864762,0.95228562381236537,1,lars,5,300
exponential,0,6.9718440308297485,0.97401376323606859,1,greedy,5,300
exponential,0,17.831420686577296,0.99789208333483725,1,lars,5,300
exponential,0,45.312556322252696,0.98630872326999075,1,greedy,5,300
exponential,0,2.7016426983774533,0.9939706516760084,1,lars,5,300
exponential,0,3.2541190906312085,0.99124055743678152,1,greedy,5,300
exponential,0,11.569945755188657,0.9841156641680997,1,lars,5,300
exponential,0,8.9848872388701189,0.99045123686830672,1,greedy,5,300
exponential,0,3.7070114347849232,0.99333925533905965,1,lars,5,300
exponential,0,3.8855355133192369,0.9926798430765017,1,greedy,5,300
exponential,0,120.6386840023828,0.98951724397241336,1,lars,5,300
exponential,0,135.65097372312783,0.98672735238819764,1,greedy,5,300
exponential,0,9.3101105308227208,0.98766230836493396,1,lars,5,300
exponential,0,3.0848256395275233,0.99865292834051977,1,greedy,5,300
exponential,0,6.6022846204730286,0.95122148519571459,1,lars,5,300
exponential,0,2.0514370066028986,0.99539495202227157,1,greedy,5,300
exponential,0,4.1271320708218235,0.97692989810488873,1,lars,5,300
exponential,0,1.609896856071017,0.99652411344768888,1,greedy,5,300
exponential,0,11.936423923848878,0.97259269879692067,1,lars,5,300
exponential,0,9.6239504262653917,0.98227039398075,1,greedy,5,300
exponential,0,1.9052364323704245,0.99808260338498389,1,lars,5,300
exponential,0,1.1348458338410417,0.9993201407137392,1,greedy,5,300
exponential,0,1.6577197712867136,0.99740221736814283,1,lars,5,300
exponential,0,2.1040853052035486,0.99581155075725325,1,greedy,5,300
exponential,0,21.857628448339522,0.99122355753433677,1,lars,5,300
exponential,0,25.929970989028934,0.98762623698188623,1,greedy,5,300
exponential,0,2.5151094132839158,0.91270318024650188,1,lars,5,300
exponential,0,3.6863665789216475,0.80081317043844191,1,greedy,5,300
exponential,0,5.8050980812309207,0.98176868418028052,1,lars,5,300
exponential,0,5.6182468538188477,0.9829334654480566,1,greedy,5,300
exponential,0,2.1197408051035236,0.88507095210219788,1,lars,5,300
exponential,0,1.9254328565053702,0.90622783564909415,1,greedy,5,300
exponential,0,1.5018660026675119,0.97989212813596449,1,lars,5,300
exponential,0,1.8829912046388178,0.96820405583418589,1,greedy,5,300
exponential,0,2.5981573433184271,0.89259141540180242,1,lars,5,300
exponential,0,1.7668114025906043,0.9518383334265309,1,greedy,5,300
exponential,0,67.979577676787926,0.97281617041841217,1,lars,5,300
exponential,0,63.138898746564287,0.97659456363200103,1,greedy,5,300
exponential,0,0.79736269258358783,0.99643457229036403,1,lars,5,300
exponential,0,0.82235513532984295,0.99620712867651007,1,greedy,5,300
exponential,0,5.8609850230400493,0.99874610670684005,1,lars,5,300
exponential,0,6.3648334687857311,0.9985210879684856,1,greedy,5,300
exponential,0,0.88807329648702538,0.99954967805728001,1,lars,5,300
exponential,0,1.5664424480038053,0.99859828067146439,1,greedy,5,300
exponential,0,2.3956698494035376,0.98801514588562689,1,lars,5,300
exponential,0,2.4214160355453656,0.98775455484521846,1,greedy,5,300
exponential,0,1.842451406720079,0.93989419502485128,1,lars,5,300
exponential,0,1.8023047585590826,0.94256409373535821,1,greedy,5,300
exponential,0,3.1788313863877082,0.99738264883342431,1,lars,5,300
exponential,0,3.8287543316102504,0.9962007394904373,1,greedy,5,300
exponential,0,1.1163385654114688,0.99213925526742486,1,lars,5,300
exponential,0,0.61964610723133695,0.99758468498150688,1,greedy,5,300
exponential,0,16.319791171554805,0.9369046530455184,1,lars,5,300
exponential,0,26.128427203495256,0.8286986554560859,1,greedy,5,300
exponential,0,0.92815480328339006,0.99419781753425795,1,lars,5,300
exponential,0,0.53583974443851867,0.99806990825713726,1,greedy,5,300
exponential,0,31.425949500722989,0.9855007502244677,1,lars,5,300
exponential,0,38.389071131226252,0.97828473273351901,1,greedy,5,300
exponential,0,10.339817611081653,0.99682283311729269,1,lars,5,300
exponential,0,7.2323095240385999,0.99844684351995672,1,greedy,5,300
exponential,0,1.6832304218819334,0.9916754820658471,1,lars,5,300
exponential,0,2.7585388426086976,0.97748166537551073,1,greedy,5,300
exponential,0,1.5883508230476424,0.97977592702297156,1,lars,5,300
exponential,0,1.3325094378252487,0.98580959532441403,1,greedy,5,300
exponential,0,3.4903608474443706,0.93489266796005999,1,lars,5,300
exponential,0,3.9838658758282994,0.91426596561159201,1,greedy,5,300
exponential,0,3.5258126843577196,0.97599628482306555,1,lars,5,300
exponential,0,2.8172324035777732,0.98474236126139858,1,greedy,5,300
exponential,0,2.6036705667321773,0.95087256749267901,1,lars,5,300
exponential,0,2.2181986853882489,0.96459133398645402,1,greedy,5,300
exponential,0,5.7948044847721656,0.95833135621811005,1,lars,5,300
exponential,0,6.2027417579684485,0.95210590248690985,1,greedy,5,300
exponential,0,16.004916985308377,0.99485648011877492,1,lars,5,300
exponential,0,13.987198302766089,0.99607400219061715,1,greedy,5,300
exponential,0,1.3478341149951085,0.99664862274345833,1,lars,5,300
exponential,0,2.3038382091678415,0.99017654132367072,1,greedy,5,300
exponential,0,154.56386561527765,0.94625377799589483,1,lars,5,300
exponential,0,180.44820090603957,0.92597366698431383,1,greedy,5,300
exponential,0,3.9499402290419385,0.72121842963357941,1,lars,5,300
exponential,0,3.8304233147578017,0.7407798950915333,1,greedy,5,300
exponential,0,4.7800589884516302,0.97304202763690872,1,lars,5,300
exponential,0,4.0534260542822711,0.980689875422882,1,greedy,5,300
exponential,0,0.5142404822725275,0.99732361650429235,1,lars,5,300
exponential,0,1.3507634384049678,0.98138539210460596,1,greedy,5,300
exponential,0,3.2727699393867598,0.98487822366391453,1,lars,5,300
exponential,0,4.0620640503923964,0.97660738120809398,1,greedy,5,300
exponential,0,3.3195826333116845,0.98986372482108786,1,lars,5,300
exponential,0,2.9051457392140247,0.99224596688924227,1,greedy,5,300
exponential,0,17.272280120491263,0.83161648370415486,1,lars,5,300
exponential,0,11.2047034890183,0.93285138714251881,1,greedy,5,300
exponential,0,1.3929509406676679,0.95851333000419447,1,lars,5,300
exponential,0,1.4199584172753723,0.95685239934992516,1,greedy,5,300
exponential,0,12.378183946897215,0.95925240792276767,1,lars,5,300
exponential,0,7.8212679542847043,0.98393408125056037,1,greedy,5,300
exponential,0,15.618279798063327,0.99967933463880587,1,lars,5,300
exponential,0,14.409188585746984,0.9997270680767022,1,greedy,5,300
exponential,0,2.1991251957916944,0.9897389702428675,1,lars,5,300
exponential,0,2.2601130937350811,0.98915878305492577,1,greedy,5,300
exponential,0,1.1776138313963669,0.99740140070986416,1,lars,5,300
exponential,0,0.37874413770908932,0.99973151562413975,1,greedy,5,300
exponential,0,13.315024400577403,0.89672082287406796,1,lars,5,300
exponential,0,8.7615544432163226,0.95665078327537678,1,greedy,5,300
exponential,0,5.6505380505743075,0.99108645565467568,1,lars,5,300
exponential,0,3.8647441778610614,0.99584015943081783,1,greedy,5,300
exponential,0,0.63661960150409924,0.99803665202661229,1,lars,5,300
exponential,0,0.61474008624539822,0.9981694083458289,1,greedy,5,300
exponential,0,inf,nan,1,lars,5,300
exponential,0,12.646284727081284,-0.32045367429107668,1,greedy,5,300
exponential,0,4.1490017637567922,0.98242931511777931,1,lars,5,300
exponential,0,2.5719715526364739,0.99328475071034783,1,greedy,5,300
exponential,0,46.814827832384374,0.90879310819357406,1,lars,5,300
exponential,0,40.290665356847668,0.93329945169663719,1,greedy,5,300
exponential,0,1.4507303379803658,0.99839894569538268,1,lars,5,300
exponential,0,1.6797715199570642,0.99785290240257241,1,greedy,5,300
exponential,0,2.6222557495836907,0.97948036638649938,1,lars,5,300
exponential,0,2.7022965136680566,0.97819441520563066,1,greedy,5,300
exponential,0,4.9836762811028477,0.98165417497025309,1,lars,5,300
exponential,0,4.0632897905249781,0.98784264621740703,1,greedy,5,300
exponential,0,2.0391649519535235,0.98562655970960811,1,lars,5,300
exponential,0,2.0170873113337557,0.98593831952037503,1,greedy,5,300
exponential,0,1.0321805322636552,0.95334289567630448,1,lars,5,300
exponential,0,1.1203189477321471,0.94479289879226069,1,greedy,5,300
exponential,0,9.672767351212844,0.98712061407431739,1,lars,5,300
exponential,0,9.3212304896691567,0.98804531559259112,1,greedy,5,300
exponential,0,1.0863403543497179,0.99385763604370914,1,lars,5,300
exponential,0,0.89202177942421901,0.99586268942001654,1,greedy,5,300
exponential,0,6.3403121085410712,0.99454281969540304,1,lars,5,300
exponential,0,8.6683499994714523,0.98977509505207162,1,greedy,5,300
exponential,0,0.32454144515521827,0.99730152883788392,1,lars,5,300
exponential,0,0.15535088902258987,0.99938233538884813,1,greedy,5,300
exponential,0,1.3561666863224375,0.98139222742696186,1,lars,5,300
exponential,0,0.9619780765678575,0.99068104167896276,1,greedy,5,300
exponential,0,11.873076818292228,0.98729882502735478,1,lars,5,300
exponential,0,14.028534011199367,0.98222324307937692,1,greedy,5,300
exponential,0,16.133908501365255,0.88663826280581215,1,lars,5,300
exponential,0,14.945700300737791,0.90358696186222087,1,greedy,5,300
exponential,0,7.3864732284247054,0.97357804936614623,1,lars,5,300
exponential,0,4.411032001120188,0.9906582414640579,1,greedy,5,300
exponential,0,6.68872308125344,0.9741491280944693,1,lars,5,300
exponential,0,4.2148110679611097,0.98981615004566048,1,greedy,5,300
exponential,0,5.4664048413895552,0.99595495522096644,1,lars,5,300
exponential,0,6.4600842112142196,0.99434612359966434,1,greedy,5,300
exponential,0,2.5746549093078288,0.91743915988068059,1,lars,5,300
exponential,0,2.6012326305809901,0.91564699757651835,1,greedy,5,300
exponential,0,3.3673040925021875,0.97765804021099167,1,lars,5,300
exponential,0,3.2656647911526195,0.97900068872380053,1,greedy,5,300
exponential,0,5.3092925254787326,0.99083645655785424,1,lars,5,300
exponential,0,6.857333721299022,0.98466623477581428,1,greedy,5,300
exponential,0,4.3354524393802993,0.96090633069960618,1,lars,5,300
exponential,0,4.4609317607732288,0.95856107586441108,1,greedy,5,300
exponential,0,7.3295945771917888,0.94994728226477887,1,lars,5,300
exponential,0,9.9053354352486682,0.90650439620106427,1,greedy,5,300
exponential,0,85.817650213128374,0.97126724493307726,1,lars,5,300
exponential,0,44.608118703794524,0.99231863225211359,1,greedy,5,300
exponential,0,10.789810945289533,0.98663972169827541,1,lars,5,300
exponential,0,9.5399233774724035,0.98957113004945063,1,greedy,5,300
exponential,0,9.3878540649703766,0.89830792708493457,1,lars,5,300
exponential,0,10.490298192723712,0.87118066672818872,1,greedy,5,300
exponential,0,3.5077305466267474,0.99310360092119698,1,lars,5,300
exponential,0,3.3292856268779634,0.99378955665523228,1,greedy,5,300
exponential,0,3.7972181989937508,0.9651005168083483,1,lars,5,300
exponential,0,1.8438562126742184,0.99188173523832968,1,greedy,5,300
exponential,0,2.4819027036095442,0.90036681633353999,1,lars,5,300
exponential,0,1.8924423743520764,0.94335452352595894,1,greedy,5,300
exponential,0,1.9993650586911167,0.9672665235659399,1,lars,5,300
exponential,0,2.0210115686173502,0.96654156632986865,1,greedy,5,300
exponential,0,4.125746062261177,0.95669358127550497,1,lars,5,300
exponential,0,2.8406748463440508,0.97970860599614529,1,greedy,5,300
exponential,0,9.9051293736650159,0.98689165040942539,1,lars,5,300
exponential,0,3.9154071750629011,0.99796310662615395,1,greedy,5,300
exponential,0,1.3768736910871076,0.97213653500378994,1,lars,5,300
exponential,0,1.2598819241963393,0.97672458546891872,1,greedy,5,300
exponential,0,2.6302017170175569,0.97657130479502019,1,lars,5,300
exponential,0,3.4253786072172483,0.95992625727944059,1,greedy,5,300
exponential,0,1.1452766861172115,0.99529816853299657,1,lars,5,300
exponential,0,2.4285608694541976,0.9786805337815393,1,greedy,5,300
exponential,0,1.4587214693303072,0.96501500245431204,1,lars,5,300
exponential,0,1.8938887399038757,0.94027607182318362,1,greedy,5,300
exponential,0,4.042357586880887,0.97861002680843789,1,lars,5,300
exponential,0,4.0008306285555735,0.9790519244078606,1,greedy,5,300
exponential,0,4.1811636392666571,0.96903800650690408,1,lars,5,300
exponential,0,1.7549980837088301,0.99461503495006354,1,greedy,5,300
exponential,0,2.5008095335431966,0.86905075367470686,1,lars,5,300
exponential,0,1.6217645510738403,0.94713823158362098,1,greedy,5,300
exponential,0,19.035852511186263,0.9721308549054708,1,lars,5,300
exponential,0,16.09424049188851,0.98015936622390742,1,greedy,5,300
exponential,0,2.4652472004184895,0.95593125051424221,1,lars,5,300
exponential,0,1.9399833644960538,0.97294519840214888,1,greedy,5,300
exponential,0,2.7675990131428554,0.9796779816430472,1,lars,5,300
exponential,0,2.0354057628411684,0.98906020638935843,1,greedy,5,300
exponential,0,9.6550742637684728,0.97500248899763087,1,lars,5,300
exponential,0,10.541029018989091,0.97013076195944714,1,greedy,5,300
exponential,0,2.4736608947822636,0.98706368839874736,1,lars,5,300
exponential,0,2.8239857727835891,0.98310645045722056,1,greedy,5,300
exponential,0,2.4817461567665267,0.99463195890749811,1,lars,5,300
exponential,0,2.4582318945094905,0.99473346817636954,1,greedy,5,300
exponential,0,1.7452931057411722,0.9917722154900348,1,lars,5,300
exponential,0,1.8408836949686331,0.99084197667467533,1,greedy,5,300
exponential,0,1.7840207463430378,0.95763539059870972,1,lars,5,300
exponential,0,1.1209260446699911,0.98349337138697701,1,greedy,5,300
exponential,0,12.606028828139749,0.98309363040906483,1,lars,5,300
exponential,0,10.882100257642588,0.98742897136229024,1,greedy,5,300
exponential,0,0.96015689008297056,0.99183170555228284,1,lars,5,300
exponential,0,1.7691341494816522,0.97198978183489393,1,greedy,5,300
exponential,0,13.828386766932741,0.9913064741489479,1,lars,5,300
exponential,0,13.547606918677509,0.99165739731855651,1,greedy,5,300
exponential,0,3.6749569616557651,0.99207322249264662,1,lars,5,300
exponential,0,4.680410335116048,0.98711028426335246,1,greedy,5,300
exponential,0,25.742913444428968,0.95642985878321085,1,lars,5,300
exponential,0,4.2594637517421479,0.99883246121470115,1,greedy,5,300
exponential,0,1.4952182212707334,0.99628917612453216,1,lars,5,300
exponential,0,6.5083981798914845,0.92716955975883431,1,greedy,5,300
exponential,0,18.9256986521114,0.99111737442350178,1,lars,5,300
exponential,0,12.782740312465483,0.9959576772979104,1,greedy,5,300
exponential,0,13.621487014114184,0.99482336920363568,1,lars,5,300
exponential,0,6.9154988363404559,0.9986682923332183,1,greedy,5,300
exponential,0,1.8553459666709515,0.99108874403309166,1,lars,5,300
exponential,0,2.0011082490758163,0.9896259231587804,1,greedy,5,300
exponential,0,2.4265424162361819,0.9980840432232726,1,lars,5,300
exponential,0,5.033179249093398,0.99173052574050102,1,greedy,5,300
exponential,0,1.5252869267676685,0.98980698148581658,1,lars,5,300
