n,L,iteration,method,lambda,rank,sp.corr,sp.pval,evar_tr,evar_va,evar,mse
10500,30,0,Mklaren,0,3,0.33229545630025997,3.4938951867425287e-129,0.10661184730564149,0.16249283502490025,0.11542751876159517,0.13499570330297828
10500,30,0,Mklaren,1.0000000000000001e-05,3,0.33229545630025997,3.4938951867425287e-129,0.10661184728290249,0.16249182774708776,0.11542748516913437,0.13499570842956538
10500,30,0,Mklaren,0.0001,3,0.3322952623781501,3.4951623965668279e-129,0.10661184503506514,0.16248276645984686,0.11542718012151969,0.13499575498326014
10500,30,0,Mklaren,0.001,3,0.33217803367870269,4.3516050363829107e-129,0.10661162353043079,0.16239256884478304,0.11542386541091762,0.13499626084535563
10500,30,0,Mklaren,0.01,3,0.33229548361255712,3.4937167477448549e-129,0.10659236038157631,0.16153028247530385,0.11536832666230776,0.1350047366826535
10500,30,0,Mklaren,0.10000000000000001,3,0.33132843609908691,2.1243169060166385e-128,0.10583097422725646,0.15545467416306699,0.11415578733409158,0.13518978381317909
10500,30,0,Mklaren,1.0,3,0.38652344325676408,7.0485036818382265e-178,0.1452577410174169,0.18592545218820875,0.1497052252249956,0.12976454001247947
10500,30,0,Mklaren,10.0,3,0.38473998963332773,4.0154511695942312e-176,0.04678850211088157,0.058972588832577902,0.049934814435188567,0.14499062612646416
10500,30,0,CSI,0,3,0.3300192006011532,2.4211474964457864e-127,0.11439321167853664,0.15847749220988167,0.12683074866338118,0.13325544224674238
10500,30,0,CSI,1.0000000000000001e-05,3,0.3300192006011532,2.4211474964457864e-127,0.1143932116785365,0.15847749152240106,0.12683074823172957,0.13325544231261727
10500,30,0,CSI,0.0001,3,0.33001916940081616,2.4212875570608689e-127,0.11439321167853019,0.15847748533506972,0.12683074434686026,0.13325544290549199
10500,30,0,CSI,0.001,3,0.33001874118819063,2.4232106523730324e-127,0.11439321167790262,0.15847742346129468,0.12683070549772441,0.13325544883430679
10500,30,0,CSI,0.01,3,0.33001654953251613,2.4330772308850903e-127,0.11439321161514335,0.15847680467735145,0.12683031696209288,0.13325550812921133
10500,30,0,CSI,0.10000000000000001,3,0.33000848227737317,2.4697417169701108e-127,0.11439320534226209,0.15847061222133327,0.12682642718123949,0.13325610175349101
10500,30,0,CSI,1.0,3,0.32995497465938034,2.7272826491218516e-127,0.11439258109369192,0.15840822884536512,0.1267870895468855,0.13326210511865161
10500,30,0,CSI,10.0,3,0.32926564319717644,9.7708300694207292e-127,0.11433307660224519,0.15774123916188096,0.12635225115352866,0.13332846634509646
10500,30,0,Nystrom,0,3,0.10523985849587567,8.6230399029877583e-14,0.03905775806059595,0.025688356412451749,0.0084848104578391891,0.15131636263479381
10500,30,0,Nystrom,1.0000000000000001e-05,3,0.14872329089934377,3.9952245664065685e-26,0.044710320345923614,0.046277442202936295,0.024435141184602816,0.1488821628828865
10500,30,0,Nystrom,0.0001,3,0.10227851541981033,4.1864600790066345e-13,0.020861499027836645,0.024108068974434745,0.013420900179000593,0.1505630598612982
10500,30,0,Nystrom,0.001,3,0.19128342526180228,2.0577015124918495e-42,0.037304014338183304,0.070107504693334308,0.047075669998680146,0.14542696370448929
10500,30,0,Nystrom,0.01,3,0.15778749425945129,3.0789992849049333e-29,0.021525848410371928,0.048209612725108549,0.030043043335474154,0.14802633398139128
10500,30,0,Nystrom,0.10000000000000001,3,0.13333864834087017,2.8412173380354278e-21,0.01317938031155755,0.037048907014421657,0.020264157060284581,0.14951870194245526
10500,30,0,Nystrom,1.0,3,0.22023457416451903,5.5949057482760377e-56,0.055072001562126854,0.085825414317797916,0.055735014834171079,0.14410545035085937
10500,30,0,Nystrom,10.0,3,0.14543447258781469,4.8334151772305452e-25,0.038794942411151535,0.045691199884927064,0.023443186648832784,0.14903354629469395
10500,30,0,ICD,0,3,0.12423385086159401,1.1794831377390726e-18,0.043331672055462685,0.033090390275650562,0.017182810238154739,0.14998895010209895
10500,30,0,ICD,1.0000000000000001e-05,3,0.12423385086159401,1.1794831377390726e-18,0.043331672055462823,0.033090390406768221,0.017182810621724363,0.14998895004356191
10500,30,0,ICD,0.0001,3,0.12423388729398753,1.1794557005080374e-18,0.043331672055460721,0.033090391586827493,0.017182814073849181,0.14998894951672886
10500,30,0,ICD,0.001,3,0.12423442441978935,1.179051264254972e-18,0.04333167205527462,0.033090403387218539,0.017182848594822192,0.14998894424844036
10500,30,0,ICD,0.01,3,0.1242340606718603,1.1793251382883117e-18,0.043331672036654341,0.033090521371089164,0.017183193777172326,0.14998889156973386
10500,30,0,ICD,0.10000000000000001,3,0.12423112232012136,1.1815397938627842e-18,0.043331670175874609,0.033091699207022346,0.017186642864327528,0.14998836520026596
10500,30,0,ICD,1.0,3,0.12427418132922798,1.1494928200999261e-18,0.043331485332268091,0.033103278628883508,0.017220861699694747,0.14998314302136645
10500,30,0,ICD,10.0,3,0.12451284763520831,9.8682103978420543e-19,0.043314170591948579,0.033200449776870158,0.017537367064836343,0.14993484074510002
