kernel,d,n,p,method,lambda,rank,limit,time
exponential_kernel,100,100,1,Mklaren,0.1,5,3600,0.04256701469421387
exponential_kernel,100,100,1,CSI,0.1,5,3600,0.2983720302581787
exponential_kernel,100,100,1,alignfc,0.1,5,3600,0.19169187545776367
exponential_kernel,100,100,1,FITC,0.1,5,3600,0.4798319339752197
exponential_kernel,100,100,1,align,0.1,5,3600,0.0868840217590332
exponential_kernel,100,100,1,Nystrom,0.1,5,3600,0.023808956146240234
exponential_kernel,100,100,1,l2krr,0.1,5,3600,0.08851885795593262
exponential_kernel,100,100,1,alignf,0.1,5,3600,0.11340594291687012
exponential_kernel,100,100,1,uniform,0.1,5,3600,0.05593609809875488
exponential_kernel,100,100,1,RFF,0.1,5,3600,0.0022058486938476562
exponential_kernel,100,100,1,ICD,0.1,5,3600,0.013190984725952148
exponential_kernel,100,316,1,Mklaren,0.1,5,3600,0.0773630142211914
exponential_kernel,100,316,1,CSI,0.1,5,3600,0.33138012886047363
exponential_kernel,100,316,1,alignfc,0.1,5,3600,0.5151941776275635
exponential_kernel,100,316,1,FITC,0.1,5,3600,0.5158190727233887
exponential_kernel,100,316,1,align,0.1,5,3600,0.4342198371887207
exponential_kernel,100,316,1,Nystrom,0.1,5,3600,0.0336000919342041
exponential_kernel,100,316,1,l2krr,0.1,5,3600,0.590338945388794
exponential_kernel,100,316,1,alignf,0.1,5,3600,0.4204220771789551
exponential_kernel,100,316,1,uniform,0.1,5,3600,0.38586902618408203
exponential_kernel,100,316,1,RFF,0.1,5,3600,0.0050051212310791016
exponential_kernel,100,316,1,ICD,0.1,5,3600,0.03247809410095215
exponential_kernel,100,1000,1,Mklaren,0.1,5,3600,0.17730116844177246
exponential_kernel,100,1000,1,CSI,0.1,5,3600,0.8024129867553711
exponential_kernel,100,1000,1,alignfc,0.1,5,3600,3.8491251468658447
exponential_kernel,100,1000,1,FITC,0.1,5,3600,0.5387048721313477
exponential_kernel,100,1000,1,align,0.1,5,3600,3.5726559162139893
exponential_kernel,100,1000,1,Nystrom,0.1,5,3600,0.08162498474121094
exponential_kernel,100,1000,1,l2krr,0.1,5,3600,6.266185998916626
exponential_kernel,100,1000,1,alignf,0.1,5,3600,3.592132091522217
exponential_kernel,100,1000,1,ICD,0.1,5,3600,0.08099508285522461
exponential_kernel,100,1000,1,RFF,0.1,5,3600,0.007066965103149414
exponential_kernel,100,1000,1,uniform,0.1,5,3600,3.4740920066833496
exponential_kernel,100,3162,1,Mklaren,0.1,5,3600,0.44948291778564453
exponential_kernel,100,3162,1,CSI,0.1,5,3600,2.591325044631958
exponential_kernel,100,3162,1,alignfc,0.1,5,3600,54.39883589744568
exponential_kernel,100,3162,1,FITC,0.1,5,3600,0.8473670482635498
exponential_kernel,100,3162,1,align,0.1,5,3600,49.14672112464905
exponential_kernel,100,3162,1,Nystrom,0.1,5,3600,0.17946290969848633
exponential_kernel,100,3162,1,l2krr,0.1,5,3600,129.89208984375
exponential_kernel,100,3162,1,alignf,0.1,5,3600,50.001941204071045
exponential_kernel,100,3162,1,ICD,0.1,5,3600,0.17760801315307617
exponential_kernel,100,3162,1,RFF,0.1,5,3600,0.013035058975219727
exponential_kernel,100,3162,1,uniform,0.1,5,3600,35.65641117095947
exponential_kernel,100,10000,1,Mklaren,0.1,5,3600,1.3668370246887207
exponential_kernel,100,10000,1,CSI,0.1,5,3600,15.971060991287231
exponential_kernel,100,10000,1,alignfc,0.1,5,3600,902.1403019428253
exponential_kernel,100,10000,1,FITC,0.1,5,3600,1.4163250923156738
exponential_kernel,100,10000,1,align,0.1,5,3600,936.0520000457764
exponential_kernel,100,10000,1,Nystrom,0.1,5,3600,0.498852014541626
exponential_kernel,100,10000,1,l2krr,0.1,5,3600,3572.4586210250854
exponential_kernel,100,10000,1,alignf,0.1,5,3600,912.3950328826904
exponential_kernel,100,10000,1,ICD,0.1,5,3600,0.5378360748291016
exponential_kernel,100,10000,1,RFF,0.1,5,3600,0.04205203056335449
exponential_kernel,100,10000,1,uniform,0.1,5,3600,540.9192979335785
exponential_kernel,100,31622,1,Mklaren,0.1,5,3600,4.086069822311401
exponential_kernel,100,31622,1,alignfc,0.1,5,3600,inf
exponential_kernel,100,31622,1,FITC,0.1,5,3600,3.7937629222869873
exponential_kernel,100,31622,1,align,0.1,5,3600,inf
exponential_kernel,100,31622,1,Nystrom,0.1,5,3600,1.4631872177124023
exponential_kernel,100,31622,1,l2krr,0.1,5,3600,inf
exponential_kernel,100,31622,1,alignf,0.1,5,3600,inf
exponential_kernel,100,31622,1,ICD,0.1,5,3600,1.4258358478546143
exponential_kernel,100,31622,1,RFF,0.1,5,3600,0.11319589614868164
