kernel,d,n,p,method,lambda,rank,limit,time
exponential_kernel,1,1000,10,Mklaren,0.1,30,3600,1.8455209732055664
exponential_kernel,1,1000,10,alignfc,0.1,30,3600,53.90440392494202
exponential_kernel,1,1000,10,FITC,0.1,30,3600,7.331979036331177
exponential_kernel,1,1000,10,align,0.1,30,3600,9.103553056716919
exponential_kernel,1,1000,10,l2krr,0.1,30,3600,9.874162197113037
exponential_kernel,1,1000,10,alignf,0.1,30,3600,54.01216101646423
exponential_kernel,1,1000,10,uniform,0.1,30,3600,3.675827980041504
exponential_kernel,1,1000,10,RFF,0.1,30,3600,0.10126709938049316
exponential_kernel,1,1000,17,Mklaren,0.1,30,3600,3.044093132019043
exponential_kernel,1,1000,17,alignfc,0.1,30,3600,130.57377791404724
exponential_kernel,1,1000,17,FITC,0.1,30,3600,13.872101068496704
exponential_kernel,1,1000,17,align,0.1,30,3600,13.554842948913574
exponential_kernel,1,1000,17,l2krr,0.1,30,3600,9.751293897628784
exponential_kernel,1,1000,17,alignf,0.1,30,3600,131.09417700767517
exponential_kernel,1,1000,17,uniform,0.1,30,3600,5.036977052688599
exponential_kernel,1,1000,17,RFF,0.1,30,3600,0.13437700271606445
exponential_kernel,1,1000,31,Mklaren,0.1,30,3600,4.577890872955322
exponential_kernel,1,1000,31,alignfc,0.1,30,3600,395.7436602115631
exponential_kernel,1,1000,31,FITC,0.1,30,3600,26.755275011062622
exponential_kernel,1,1000,31,align,0.1,30,3600,19.271721124649048
exponential_kernel,1,1000,31,l2krr,0.1,30,3600,9.684042930603027
exponential_kernel,1,1000,31,alignf,0.1,30,3600,395.34505701065063
exponential_kernel,1,1000,31,uniform,0.1,30,3600,4.072926044464111
exponential_kernel,1,1000,31,RFF,0.1,30,3600,0.21054410934448242
exponential_kernel,1,1000,56,Mklaren,0.1,30,3600,8.316135883331299
exponential_kernel,1,1000,56,alignfc,0.1,30,3600,1222.9818890094757
exponential_kernel,1,1000,56,FITC,0.1,30,3600,58.198047161102295
exponential_kernel,1,1000,56,align,0.1,30,3600,27.42112112045288
exponential_kernel,1,1000,56,l2krr,0.1,30,3600,9.37017297744751
exponential_kernel,1,1000,56,alignf,0.1,30,3600,1218.7134430408478
exponential_kernel,1,1000,56,uniform,0.1,30,3600,4.524123191833496
exponential_kernel,1,1000,56,RFF,0.1,30,3600,0.35523200035095215
exponential_kernel,1,1000,100,Mklaren,0.1,30,3600,13.850573062896729
exponential_kernel,1,1000,100,alignfc,0.1,30,3600,inf
exponential_kernel,1,1000,100,align,0.1,30,3600,44.14979100227356
exponential_kernel,1,1000,100,l2krr,0.1,30,3600,10.806164026260376
exponential_kernel,1,1000,100,alignf,0.1,30,3600,inf
exponential_kernel,1,1000,100,uniform,0.1,30,3600,5.775465965270996
exponential_kernel,1,1000,100,RFF,0.1,30,3600,0.6006050109863281
exponential_kernel,1,1000,177,Mklaren,0.1,30,3600,25.02746605873108
exponential_kernel,1,1000,177,alignfc,0.1,30,3600,inf
exponential_kernel,1,1000,177,align,0.1,30,3600,74.80153489112854
exponential_kernel,1,1000,177,l2krr,0.1,30,3600,13.010488986968994
exponential_kernel,1,1000,177,alignf,0.1,30,3600,inf
exponential_kernel,1,1000,177,uniform,0.1,30,3600,7.190084934234619
exponential_kernel,1,1000,177,RFF,0.1,30,3600,1.1060988903045654
exponential_kernel,1,1000,316,Mklaren,0.1,30,3600,41.20538687705994
exponential_kernel,1,1000,316,alignfc,0.1,30,3600,inf
exponential_kernel,1,1000,316,align,0.1,30,3600,130.5066430568695
exponential_kernel,1,1000,316,l2krr,0.1,30,3600,17.297050952911377
exponential_kernel,1,1000,316,alignf,0.1,30,3600,inf
exponential_kernel,1,1000,316,uniform,0.1,30,3600,10.804941177368164
exponential_kernel,1,1000,316,RFF,0.1,30,3600,1.8857629299163818
exponential_kernel,1,1000,562,Mklaren,0.1,30,3600,74.06640791893005
exponential_kernel,1,1000,562,alignfc,0.1,30,3600,inf
exponential_kernel,1,1000,562,align,0.1,30,3600,227.4885630607605
exponential_kernel,1,1000,562,l2krr,0.1,30,3600,26.322704076766968
